policy,threshold,true_negative,false_positive,false_negative,true_positive,precision,recall,f1,false_alert_rate,fraud_capture_rate,total_cost,cost_false_negative,cost_false_positive
minimum_cost_threshold,0.49,56879.0,8.0,18.0,57.0,0.8769230769230769,0.76,0.8142857142857143,0.00014062966934448996,0.76,1840.0,100.0,5.0
current_f1_selected_threshold,0.73,56880.0,7.0,19.0,56.0,0.8888888888888888,0.7466666666666667,0.8115942028985508,0.00012305096067642872,0.7466666666666667,1935.0,100.0,5.0
