experiment,feature_count,train_rows,test_rows,selected_threshold,validation_precision,validation_recall,validation_f1,test_accuracy,test_precision,test_recall,test_f1,test_roc_auc,test_pr_auc,scale_pos_weight_train_subset,scale_pos_weight_full_train
base_features,30,227845,56962,0.37,0.9512195121951219,0.75,0.8387096774193549,0.9995435553526912,0.8769230769230769,0.76,0.8142857142857143,0.988218515067883,0.7968191375844855,498.386301369863,545.3908872901678
engineered_features,47,227845,56962,0.73,0.95,0.7307692307692307,0.8260869565217391,0.9995435553526912,0.8888888888888888,0.7466666666666667,0.8115942028985508,0.981518214471965,0.7892333344348711,498.386301369863,545.3908872901678
