recall,precision
1.0,0.001316667251852112
1.0,0.0013166903670932743
1.0,0.0013167134831460674
1.0,0.0013167366000105339
1.0,0.0013167597176867165
1.0,0.001316782836174658
1.0,0.0013168059554744013
1.0,0.001316829075585989
1.0,0.0013168521965094637
1.0,0.0013168753182448685
1.0,0.0013168984407922462
1.0,0.0013169215641516392
1.0,0.0013169446883230904
1.0,0.0013169678133066428
1.0,0.001316990939102339
1.0,0.0013170140657102218
1.0,0.001317037193130334
1.0,0.0013170603213627184
1.0,0.0013170834504074179
1.0,0.001317106580264475
1.0,0.0013171297109339328
1.0,0.001317152842415834
1.0,0.0013171759747102212
1.0,0.0013171991078171376
1.0,0.0013172222417366258
1.0,0.0013172453764687287
1.0,0.0013172685120134888
1.0,0.0013172916483709493
1.0,0.001317314785541153
1.0,0.0013173379235241424
1.0,0.0013173610623199606
1.0,0.0013173842019286505
1.0,0.0013174073423502547
1.0,0.0013174304835848161
1.0,0.0013174536256323778
1.0,0.0013174767684929823
1.0,0.0013174999121666725
1.0,0.0013175230566534915
1.0,0.0013175462019534819
1.0,0.0013175693480666866
1.0,0.0013175924949931485
1.0,0.0013176156427329106
1.0,0.0013176387912860155
1.0,0.0013176619406525061
1.0,0.0013176850908324256
1.0,0.0013177082418258164
1.0,0.0013177313936327218
1.0,0.0013177545462531846
1.0,0.0013177776996872474
1.0,0.0013178008539349534
1.0,0.0013178240089963453
1.0,0.001317847164871466
1.0,0.0013178703215603585
1.0,0.0013178934790630656
1.0,0.0013179166373796303
1.0,0.0013179397965100955
1.0,0.001317962956454504
1.0,0.0013179861172128986
1.0,0.0013180092787853227
1.0,0.0013180324411718187
1.0,0.0013180556043724298
1.0,0.0013180787683871988
1.0,0.0013181019332161687
1.0,0.0013181250988593823
1.0,0.001318148265316883
1.0,0.001318171432588713
1.0,0.0013181946006749156
1.0,0.001318217769575534
1.0,0.0013182409392906106
1.0,0.0013182641098201887
1.0,0.0013182872811643113
1.0,0.0013183104533230213
1.0,0.0013183336262963614
1.0,0.0013183568000843747
1.0,0.0013183799746871044
1.0,0.0013184031501045934
1.0,0.0013184263263368843
1.0,0.0013184495033840204
1.0,0.0013184726812460446
1.0,0.0013184958599229998
1.0,0.0013185190394149292
1.0,0.0013185422197218755
1.0,0.0013185654008438818
1.0,0.0013185885827809913
1.0,0.0013186117655332465
1.0,0.001318634949100691
1.0,0.0013186581334833673
1.0,0.0013186813186813187
1.0,0.001318704504694588
1.0,0.0013187276915232185
1.0,0.0013187508791672527
1.0,0.0013187740676267343
1.0,0.0013187972569017057
1.0,0.0013188204469922102
1.0,0.0013188436378982907
1.0,0.0013188668296199905
1.0,0.0013188900221573524
1.0,0.0013189132155104195
1.0,0.0013189364096792347
1.0,0.001318959604663841
1.0,0.0013189828004642819
1.0,0.0013190059970806
1.0,0.0013190291945128386
1.0,0.0013190523927610405
1.0,0.0013190755918252488
1.0,0.0013190987917055068
1.0,0.0013191219924018572
1.0,0.0013191451939143434
1.0,0.0013191683962430084
1.0,0.0013191915993878952
1.0,0.0013192148033490466
1.0,0.0013192380081265061
1.0,0.0013192612137203166
1.0,0.0013192844201305213
1.0,0.001319307627357163
1.0,0.001319330835400285
1.0,0.0013193540442599304
1.0,0.0013193772539361421
1.0,0.0013194004644289635
1.0,0.0013194236757384376
1.0,0.001319446887864607
1.0,0.0013194701008075157
1.0,0.0013194933145672062
1.0,0.0013195165291437216
1.0,0.0013195397445371054
1.0,0.0013195629607474005
1.0,0.0013195861777746498
1.0,0.0013196093956188968
1.0,0.0013196326142801845
