fpr,tpr,threshold
0.0,0.0,inf
0.0,0.013333333333333334,0.9999819
0.0,0.5866666666666667,0.9995204
1.7578708668061245e-05,0.5866666666666667,0.9991968
1.7578708668061245e-05,0.6933333333333334,0.9886214
3.515741733612249e-05,0.6933333333333334,0.98803586
3.515741733612249e-05,0.72,0.97758853
5.2736126004183736e-05,0.72,0.9701375
5.2736126004183736e-05,0.7333333333333333,0.9359193
0.00010547225200836747,0.7333333333333333,0.8944037
0.00010547225200836747,0.7466666666666667,0.82390237
0.00014062966934448996,0.7466666666666667,0.6105718
0.00014062966934448996,0.76,0.57610774
0.0009844076854114297,0.76,0.030006612
0.0009844076854114297,0.7733333333333333,0.029424826
0.001072301228751736,0.7733333333333333,0.028807258
0.001072301228751736,0.7866666666666666,0.028761772
0.0011074586460878583,0.7866666666666666,0.02869502
0.0011074586460878583,0.8,0.027599733
0.0026192275915411256,0.8,0.012666155
0.0026192275915411256,0.8133333333333334,0.012502438
0.00268954242621337,0.8133333333333334,0.011833907
0.00268954242621337,0.8266666666666667,0.011813271
0.007418215057921845,0.8266666666666667,0.0043945806
0.007418215057921845,0.84,0.0043547736
0.010635118744177052,0.84,0.0028818825
0.010635118744177052,0.8533333333333334,0.002859174
0.011601947720920422,0.8533333333333334,0.0026129545
0.011601947720920422,0.8666666666666667,0.0026101165
0.011848049642273279,0.8666666666666667,0.0025487016
0.011848049642273279,0.88,0.002539498
0.012217202524302565,0.88,0.0024749564
0.012252359941638688,0.88,0.0024617773
0.01230509606764287,0.88,0.002446299
0.012357832193647054,0.88,0.002442139
0.012762142493012463,0.88,0.0023419054
0.012885193453688892,0.88,0.0023413696
0.01300824441436532,0.88,0.0023253772
0.01300824441436532,0.8933333333333333,0.0023211022
0.018369750558124,0.8933333333333333,0.0015477218
0.018369750558124,0.9066666666666666,0.00154167
0.01979362596023696,0.9066666666666666,0.0013943206
0.01991667692091339,0.9066666666666666,0.0013940883
0.020848348480320637,0.9066666666666666,0.0013086736
0.020971399440997063,0.9066666666666666,0.0013081764
0.021287816197022167,0.9066666666666666,0.0012748057
0.02132297361435829,0.9066666666666666,0.0012729161
0.028618137711603705,0.9066666666666666,0.0009009007
0.02865329512893983,0.9066666666666666,0.0009003
0.030428744704414014,0.9066666666666666,0.0008397035
0.030463902121750135,0.9066666666666666,0.00083840435
0.04171427566930933,0.9066666666666666,0.0005687103
0.04171427566930933,0.92,0.00056856696
0.06625415296992283,0.92,0.00033116402
0.06628931038725895,0.92,0.00033100805
0.07391846994919753,0.92,0.00029039054
0.07395362736653366,0.92,0.00029035762
0.077785785856171,0.92,0.00027239838
0.077785785856171,0.9333333333333333,0.00027217122
0.08161794434580835,0.9333333333333333,0.00025669544
0.08165310176314448,0.9333333333333333,0.00025656403
0.08175857401515285,0.9333333333333333,0.00025618027
0.08175857401515285,0.9466666666666667,0.00025614194
0.08471179707138714,0.9466666666666667,0.00024629626
0.08474695448872326,0.9466666666666667,0.0002462946
0.10206198252676359,0.9466666666666667,0.00019527975
0.1020971399440997,0.9466666666666667,0.00019516899
0.10464605270096859,0.9466666666666667,0.00018951386
0.10468121011830471,0.9466666666666667,0.00018933955
0.1068609699931443,0.9466666666666667,0.00018504975
0.10689612741048042,0.9466666666666667,0.00018504198
0.11608979204387646,0.9466666666666667,0.00016680492
0.11612494946121257,0.9466666666666667,0.00016678298
0.11637105138256544,0.9466666666666667,0.0001663367
0.11640620879990156,0.9466666666666667,0.00016631243
0.11754882486332555,0.9466666666666667,0.00016418405
0.11758398228066166,0.9466666666666667,0.00016417826
0.11879691317875789,0.9466666666666667,0.0001623234
0.11879691317875789,0.96,0.00016226954
0.12148645560497126,0.96,0.00015788652
0.12152161302230738,0.96,0.00015786198
0.12605691985866718,0.96,0.0001505074
0.1260920772760033,0.96,0.00015049751
0.1306273841123631,0.96,0.00014363862
0.13066254152969922,0.96,0.00014362835
0.1349869038620423,0.96,0.00013796252
0.1350220612793784,0.96,0.00013786441
0.1522667744827465,0.96,0.00011705712
0.15230193190008262,0.96,0.000117024974
0.15796227609119834,0.96,0.000110999055
0.15799743350853446,0.96,0.00011095545
0.16552112081846468,0.96,0.00010385787
0.1655562782358008,0.96,0.000103856386
0.19551039780617716,0.96,8.236762e-05
0.19554555522351327,0.96,8.236282e-05
0.1976198428463445,0.96,8.129187e-05
0.19765500026368063,0.96,8.12697e-05
0.2025770386907378,0.96,7.846026e-05
0.2026121961080739,0.96,7.845959e-05
0.20294619157276705,0.96,7.8262914e-05
0.2029813489901032,0.96,7.8262085e-05
0.20558299787297626,0.96,7.683738e-05
0.20561815529031238,0.96,7.683064e-05
0.2097843092446429,0.96,7.457713e-05
0.209819466661979,0.96,7.457123e-05
0.21257932392286463,0.96,7.299571e-05
0.21261448134020075,0.96,7.296787e-05
0.21693884367254382,0.96,7.0711656e-05
0.21697400108987994,0.96,7.071024e-05
0.2183099829486526,0.96,6.99878e-05
0.2183451403659887,0.96,6.997152e-05
0.2270641798653471,0.96,6.546526e-05
0.22709933728268322,0.96,6.545952e-05
0.23066781514229964,0.96,6.3852094e-05
0.23070297255963576,0.96,6.3851425e-05
0.23087875964631638,0.96,6.37753e-05
0.23087875964631638,0.9733333333333334,6.377244e-05
0.23569532582136515,0.9733333333333334,6.1912186e-05
0.23573048323870127,0.9733333333333334,6.190445e-05
0.24117988292580028,0.9733333333333334,5.966914e-05
0.2412150403431364,0.9733333333333334,5.9656e-05
0.24177755902051434,0.9733333333333334,5.938865e-05
0.2418127164378505,0.9733333333333334,5.9379137e-05
0.24861567669239018,0.9733333333333334,5.6674282e-05
0.2486508341097263,0.9733333333333334,5.6659253e-05
0.2556823175769508,0.9733333333333334,5.4199412e-05
0.25571747499428693,0.9733333333333334,5.4199307e-05
0.2580554432471391,0.9733333333333334,5.3373882e-05
0.2580906006644752,0.9733333333333334,5.3367923e-05
0.25821365162515164,0.9733333333333334,5.333038e-05
0.25824880904248776,0.9733333333333334,5.332722e-05
0.25893437868054214,0.9733333333333334,5.305883e-05
0.25896953609787826,0.9733333333333334,5.305423e-05
0.2659131260217624,0.9733333333333334,5.0826395e-05
0.2659131260217624,0.9866666666666667,5.082184e-05
0.2664404872818043,0.9866666666666667,5.06018e-05
0.2664756446991404,0.9866666666666667,5.0593306e-05
0.27619667059257824,0.9866666666666667,4.757804e-05
0.2762318280099144,0.9866666666666667,4.757768e-05
0.27649550863993533,0.9866666666666667,4.7509493e-05
0.27653066605727145,0.9866666666666667,4.750333e-05
0.27892137043612775,0.9866666666666667,4.680642e-05
0.27895652785346386,0.9866666666666667,4.6806246e-05
0.28182185736635784,0.9866666666666667,4.6049514e-05
0.281857014783694,0.9866666666666667,4.6048855e-05
0.2820855379963788,0.9866666666666667,4.6007153e-05
0.28212069541371493,0.9866666666666667,4.5996934e-05
0.28881818341624627,0.9866666666666667,4.4249242e-05
0.2888533408335824,0.9866666666666667,4.4245444e-05
0.29286128640990033,0.9866666666666667,4.330206e-05
0.29289644382723645,0.9866666666666667,4.3300206e-05
0.3004025524284986,0.9866666666666667,4.1454612e-05
0.30043770984583473,0.9866666666666667,4.145074e-05
0.30637931337563945,0.9866666666666667,4.012437e-05
0.30641447079297557,0.9866666666666667,4.012418e-05
0.3078559249037566,0.9866666666666667,3.9847495e-05
0.3078910823210927,0.9866666666666667,3.9846924e-05
0.3105806247473061,0.9866666666666667,3.9321694e-05
0.3106157821646422,0.9866666666666667,3.931982e-05
0.3185086223566017,0.9866666666666667,3.7659964e-05
0.31854377977393783,0.9866666666666667,3.765551e-05
0.32367676270501167,0.9866666666666667,3.662801e-05
0.3237119201223478,0.9866666666666667,3.6615893e-05
0.32613778191854026,0.9866666666666667,3.6129524e-05
0.3261729393358764,0.9866666666666667,3.6128495e-05
0.33146413064496283,0.9866666666666667,3.51558e-05
0.33149928806229895,0.9866666666666667,3.5154793e-05
0.33267706154305904,0.9866666666666667,3.4917404e-05
0.33271221896039516,0.9866666666666667,3.4916007e-05
0.3357357568513017,0.9866666666666667,3.4379555e-05
0.3357709142686378,0.9866666666666667,3.4375684e-05
0.3369486877493979,0.9866666666666667,3.418125e-05
0.3369838451667341,0.9866666666666667,3.417776e-05
0.3381791973561622,0.9866666666666667,3.397388e-05
0.3382143547734983,0.9866666666666667,3.3967954e-05
0.33951517921493485,0.9866666666666667,3.369051e-05
0.33955033663227097,0.9866666666666667,3.3690318e-05
0.3401655914356531,0.9866666666666667,3.3595254e-05
0.34020074885298923,0.9866666666666667,3.359218e-05
0.34559741241408404,0.9866666666666667,3.2699616e-05
0.3456325698314202,0.9866666666666667,3.2698743e-05
0.3460368801307856,0.9866666666666667,3.2628748e-05
0.3460720375481217,0.9866666666666667,3.2621345e-05
0.35009756183310775,0.9866666666666667,3.1934997e-05
0.35013271925044387,0.9866666666666667,3.192501e-05
0.356777471126971,0.9866666666666667,3.0784784e-05
0.3568126285443071,0.9866666666666667,3.0778825e-05
0.3590451245451509,0.9866666666666667,3.045973e-05
0.35908028196248704,0.9866666666666667,3.045764e-05
0.36129519925466275,0.9866666666666667,3.0130725e-05
0.36133035667199886,0.9866666666666667,3.0129862e-05
0.3615940373020198,0.9866666666666667,3.0089406e-05
0.3616291947193559,0.9866666666666667,3.0088833e-05
0.3667973350677659,0.9866666666666667,2.9317214e-05
0.366832492485102,0.9866666666666667,2.9317047e-05
0.3672543814931355,0.9866666666666667,2.925259e-05
0.3672895389104716,0.9866666666666667,2.9251754e-05
0.3721764199201927,0.9866666666666667,2.8477476e-05
0.3722115773375288,0.9866666666666667,2.8476716e-05
0.3727037811802345,0.9866666666666667,2.8411938e-05
0.3727389385975706,0.9866666666666667,2.8410528e-05
0.3743737585037003,0.9866666666666667,2.8158867e-05
0.3744089159210364,0.9866666666666667,2.8154032e-05
0.3756042681104646,0.9866666666666667,2.7958129e-05
