threshold,precision,recall,f1,tn,fp,fn,tp,fraud_capture_rate,false_alert_rate
0.01,0.4117647058823529,0.8076923076923077,0.5454545454545454,45457,60,10,42,0.8076923076767752,0.0013181888085769863
0.02,0.5189873417721519,0.7884615384615384,0.6259541984732825,45479,38,11,41,0.7884615384463758,0.000834852912098758
0.03,0.5942028985507246,0.7884615384615384,0.6776859504132231,45489,28,11,41,0.7884615384463758,0.000615154777335927
0.04,0.6212121212121212,0.7884615384615384,0.6949152542372882,45492,25,11,41,0.7884615384463758,0.0005492453369070776
0.05,0.6557377049180327,0.7692307692307693,0.7079646017699115,45496,21,12,40,0.7692307692159763,0.0004613660830019452
0.060000000000000005,0.6666666666666666,0.7692307692307693,0.7142857142857143,45497,20,12,40,0.7692307692159763,0.0004393962695256621
0.06999999999999999,0.6896551724137931,0.7692307692307693,0.7272727272727273,45499,18,12,40,0.7692307692159763,0.0003954566425730959
0.08,0.6896551724137931,0.7692307692307693,0.7272727272727273,45499,18,12,40,0.7692307692159763,0.0003954566425730959
0.09,0.7017543859649122,0.7692307692307693,0.7339449541284404,45500,17,12,40,0.7692307692159763,0.00037348682909681277
0.09999999999999999,0.7142857142857143,0.7692307692307693,0.7407407407407407,45501,16,12,40,0.7692307692159763,0.0003515170156205297
0.11,0.7090909090909091,0.75,0.7289719626168224,45501,16,13,39,0.749999999985577,0.0003515170156205297
0.12,0.7090909090909091,0.75,0.7289719626168224,45501,16,13,39,0.749999999985577,0.0003515170156205297
0.13,0.7090909090909091,0.75,0.7289719626168224,45501,16,13,39,0.749999999985577,0.0003515170156205297
0.14,0.7090909090909091,0.75,0.7289719626168224,45501,16,13,39,0.749999999985577,0.0003515170156205297
0.15000000000000002,0.7222222222222222,0.75,0.7358490566037735,45502,15,13,39,0.749999999985577,0.00032954720214424657
0.16,0.7222222222222222,0.75,0.7358490566037735,45502,15,13,39,0.749999999985577,0.00032954720214424657
0.17,0.7222222222222222,0.75,0.7358490566037735,45502,15,13,39,0.749999999985577,0.00032954720214424657
0.18000000000000002,0.7358490566037735,0.75,0.7428571428571429,45503,14,13,39,0.749999999985577,0.0003075773886679635
0.19,0.75,0.75,0.75,45504,13,13,39,0.749999999985577,0.00028560757519168037
