feature_condition,lime_weight
V14 <= -0.39,0.006627762760361993
V4 > 0.84,0.006152170032732079
V12 <= -0.44,0.005817559966500217
V3 <= -0.61,0.0032416897577628306
31.29 < amount_roll_std_5 <= 65.73,0.00318309922478935
V10 <= -0.52,0.0030561116455169834
amount_ratio_10 <= 0.09,0.0029725478255757383
V11 > 0.81,0.002738689329535716
V15 <= -0.53,0.002706853502708858
V19 <= -0.47,0.002538807671603278
