feature_condition,lime_weight
V4 > 0.84,0.00439828031696932
V12 <= -0.44,0.0041945256463107325
V14 <= -0.39,0.0035693150959190873
V10 <= -0.52,0.0028703831167995603
-0.66 < V13 <= -0.00,0.0028423038131546847
V11 > 0.81,0.0025739736261119906
-0.49 < V18 <= -0.01,0.0024701797899227373
amount_roll_std_10 > 179.60,0.0022829073192436188
V21 > 0.17,0.0019585678697846176
31.29 < amount_roll_std_5 <= 65.73,0.00194672838555853
