feature_condition,lime_weight
V14 <= -0.39,0.004899537918069485
V12 <= -0.44,0.004430941870909718
V11 > 0.81,0.0030972356396350817
V22 > 0.46,0.0029796309464934032
V4 > 0.84,0.0025103548835205226
V10 <= -0.52,0.0024922801743643952
V16 <= -0.48,0.0021113037984618658
V15 <= -0.53,0.001834109586187739
amount_roll_mean_5 > 109.38,0.001814413251342794
V23 > 0.13,0.001663300639564402
